polity_code,polity_name,polity_type,continent,area_deg2,centroid_lon,centroid_lat,n_parts,n_vertices,n_holes,compactness,is_valid,span_lon,span_lat
MOR-1956-1958,Morocco (1956-1958),historical,Africa,35.81758515298784,-6.002211092352567,32.17041725235591,1,526,0,0.45791436836727994,True,10.188587907671286,7.692169869190934
SUD-1956-2011,Sudan (1956-2011),historical,Africa,208.65461573113606,30.04993629441287,13.831607742165826,1,884,0,0.4931010645220771,True,16.77499551562292,18.738827017451868
MAR-1958-1975,Morocco (1958-1975),historical,Africa,38.45934552706057,-6.3178199573818254,31.8836203258479,1,556,0,0.36544574219082326,True,12.159069730336626,8.253516507436402
SPA-1958-1975,Western Sahara (1958-1975),historical,Africa,24.001607602299206,-13.136558893333852,24.661679421527513,1,298,0,0.36525521162113656,True,8.435136007855704,6.9096541269647815
MAL-1959-1960,Mali (1959-1960),historical,Africa,123.07577122165512,-4.984907996417845,16.952147160412075,1,1058,0,0.1954909308618848,True,21.784173020288137,14.860385421247202
CMR-1960-1961,Cameroon (1960-1961),historical,Africa,34.569451478481916,13.039613119497238,5.687088227921518,1,544,0,0.2942322169271816,True,6.748838164009726,11.430836010645876
MRT-1960-1975,Mauritania (1960-1975),historical,Africa,89.90564696743232,-10.332325785775337,20.25990135162898,2,476,0,0.41336610769060145,True,12.266616159572408,12.564818011701902
NGA-1960-1961,Nigeria (1960-1961),historical,Africa,71.1022437523993,7.873992467529015,9.616965059081448,1,606,0,0.4381948215440003,True,11.410420788858204,9.618655008957958
EGY-1967-1979,Egypt (1967-1979),historical,Africa,84.83958671173927,29.61769179829794,26.276924313931428,1,638,0,0.5255790505553196,True,12.188891011351643,9.646643356848728
MRT-1975-1979,Mauritania (1975-1979),historical,Africa,98.48934201488714,-10.726798993079466,20.45741138958711,2,544,0,0.42910204378203437,True,12.292588159596477,12.564818011701902
MAR-1975-1979,Morocco (1975-1979),historical,Africa,53.87725808190492,-7.994779755871264,30.15717080499611,1,684,0,0.30368098149494616,True,14.216420204911714,12.8030985952024
BRI-1800-1895,British Bechuanaland (to 1895),colonial,Africa,10.61992151755207,22.9289955889174,-26.672411024727953,1,321,0,0.5148117951530987,True,5.084104686696918,3.2189968162523357
BRI-1800-1960,British Protectorate (British Somaliland) (to 1960),colonial,Africa,14.131418142281635,46.345552299483565,9.717289144379663,1,219,0,0.562742850589829,True,6.373366925836876,3.4684270032301754
KAM-1800-1912,Cameroon (Kamerun) (to 1912),colonial,Africa,34.569451478481916,13.039613119497238,5.687088227921518,1,544,0,0.2942322169271816,True,6.748838164009726,11.430836010645876
CAP-1800-1895,Cape Colony (to 1895),colonial,Africa,56.93023917535218,22.694883778659623,-31.28079158601248,1,821,0,0.38117591670928597,True,13.953138076940732,7.523259310223203
NAT-1800-1895,Natal (to 1895),colonial,Africa,4.049047844410624,30.1273042275682,-29.312786133386787,1,229,0,0.45844750394392036,True,2.621110612668417,3.3752001923567647
OIL-1800-1898,Oil Rivers Protectorate (to 1898),colonial,Africa,10.64577894584919,7.211863966550523,5.966299454097175,1,349,0,0.32542794661431984,True,5.3539998612540955,3.065649337314454
SPA-1800-1982,Spanish North Africa,colonial,Africa,0.0029036149999997767,-4.668722585409301,35.72582113951058,8,111,0,0.11680266293257538,True,3.003,0.7471999999999994
SPA-1800-1912,Spanish West Africa (to 1912),colonial,Africa,15.601032915166348,-14.175705016480661,23.514447612801483,1,212,0,0.5208063803908397,True,5.101527004751205,5.235379256908502
TRA-1856-1910,Transvaal (to 1910),colonial,Africa,27.043231042249822,28.92113550914746,-25.201837354862974,1,524,0,0.35785041686060726,True,7.255254968599331,6.512118258285511
FSO-1884-1977,French Somalia,colonial,Africa,1.8552124400000014,42.565439853163994,11.72740150704654,9,699,0,0.3117633163454311,True,1.669400000000003,1.7980999999999998
GWA-1884-1914,German West Africa,colonial,Africa,4.6747532750000085,0.9791968540898733,8.535786097752522,5,1586,0,0.20915646656620235,True,1.9515,5.0264999999999995
BBE-1885-1895,British Bechuanaland,colonial,Africa,10.61992151755207,22.9289955889174,-26.672411024727953,1,321,0,0.5148117951530987,True,5.084104686696918,3.2189968162523357
GER-1887-1888,German Togoland (1887-1888),colonial,Africa,0.5574054631179959,1.257700456294434,6.496345427915158,1,45,0,0.703195423306039,True,1.1171248653817538,0.7366788864752465
GER-1888-1896,German Togoland (1888-1896),colonial,Africa,4.371996345116436,0.8488211185667116,7.676141660062518,1,113,0,0.5388380468378208,True,1.971404765050266,2.8913535209281633
ITA-1889-1924,Italian Somaliland (1889-1924),colonial,Africa,30.263072949208727,46.66061064340506,5.57909346200333,1,475,0,0.29054848692338,True,9.356553351742598,12.28170639491627
CAP-1895-1910,Cape Colony (1895-1910),colonial,Africa,67.39843285070863,22.665410208999763,-30.587405236870946,1,917,0,0.30693136566661167,True,13.953138076940732,10.055942645728962
FRE-1895-1898,French West Africa (1895-1898),colonial,Africa,489.52087359192916,-0.19708243285663962,20.75323654613035,1,1140,0,0.4369035247339739,True,33.07221803080097,22.76152702119836
NAT-1895-1910,Natal (1895-1910),colonial,Africa,6.684941496229786,30.792727905754216,-28.819444963500057,1,309,0,0.32125391755728205,True,3.9873730037134507,3.9752117454504656
GER-1897-1919,German Togoland (1897-1919),colonial,Africa,6.876892136047963,0.7504943131851959,8.488474563439661,1,179,0,0.42051683986698324,True,1.971404765050266,5.022090004677182
FRE-1898-1902,French West Africa (1898-1902),colonial,Africa,486.5025589767233,-0.24514839335873212,20.79392095109016,1,1178,0,0.4197714751611586,True,33.072218030801,22.76152702119836
FRE-1902-1904,French West Africa (1902-1904),colonial,Africa,325.2839593599721,-1.742831030570261,18.21893957501096,1,1075,0,0.3146259098068651,True,33.072218030801,19.214097047179916
KAM-1912-1919,Cameroon (Kamerun) (1912-1919),colonial,Africa,34.569451478481916,13.039613119497238,5.687088227921518,1,544,0,0.2942322169271816,True,6.748838164009726,11.430836010645876
SPA-1912-1956,Spanish Morocco (1912-1956),colonial,Africa,5.02402986948462,-7.689266127802754,31.347305202284684,2,224,0,0.14838898964865227,True,10.860641686035848,8.253516507436402
SPA-1912-1958,Spanish West Africa (1912-1958),colonial,Africa,24.001607602299213,-13.136558893333852,24.661679421527488,1,297,0,0.3652552116211361,True,8.435136007855704,6.9096541269647815
GER-1919-1922,German Togoland (1919-1922),colonial,Africa,2.1866810833504795,0.267615140904507,8.387919830652736,1,176,0,0.15521041675236494,True,1.240443338064608,4.889571293708883
BRI-1922-1955,British Togoland (1922-1955),colonial,Africa,2.1866810833504795,0.267615140904507,8.387919830652736,1,176,0,0.15521041675236494,True,1.240443338064608,4.889571293708883
ITA-1924-1960,Italian Somaliland (1924-1960),colonial,Africa,37.93653154541347,45.68300917006142,4.703032801967663,1,443,0,0.3198680044116349,True,10.422709009706857,13.654037012716248
FED-1953-1964,Federation of Rhodesia and Nyasaland (1953-1964),colonial,Africa,106.16298784693664,29.057922010052703,-15.179411085591354,2,918,0,0.25698484978406844,True,13.924572012968326,14.224925904049897
SOU-1956-1958,Southern zone of Spanish Morocco (1956-1958),colonial,Africa,2.641760374072723,-10.596916392156368,27.995162675550024,1,78,0,0.3083874063035095,True,4.5042147172967475,0.9455545299156931
CAN-1800-2025,Canary Islands,dependency,Africa,0.6913200000000005,-15.666577634974619,28.34290308022387,20,2398,0,0.05142687802223426,True,4.8269,1.779399999999999
