excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
japanese south pacific: palau,subnational,MNP-1991-2025,MNP-1991-2025,True,GADM admin-0: PLW,2,True
japanese taiwan,matched,TWN-1896-2025,,True,CShapes 2.0 (1949-2019),1,False
japanese taiwan (trade with foreign countries),matched,TWN-1896-2025,,True,CShapes 2.0 (1949-2019),1,False
japanese taiwan (trade with japan),matched,TWN-1896-2025,,True,CShapes 2.0 (1949-2019),1,False
"kingdom of serbs, croats and slovenes",matched,F248-1920-1991,,True,CShapes 2.0 (1944-1991),1,False
latvia,matched,LVA-1991-2025,,True,CShapes 2.0 (1991-2019),1,False
liberia,matched,LBR-1847-2025,,True,CShapes 2.0 (1920-2019),1,False
lithuania,matched,LTU-1991-2025,,True,CShapes 2.0 (1991-2019),1,False
luxembourg,matched,LUX-2000-2025,,True,CShapes 2.0 (1944-2019),1,False
mexico,matched,MEX-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
nepal,matched,NPL-1800-2025,,True,CShapes 2.0 (1886-1919),1,False
netherlands,matched,NLD-1800-2025,,True,CShapes 2.0 (1893-1940),1,False
new zealand,matched,NZL-1907-2025,,True,CShapes 2.0 (1920-2019),1,False
new zealand: cook,subnational,COK-1893-2025,COK-1893-2025,True,GADM admin-0: COK,2,True
nicaragua,matched,NIC-1800-2025,,True,CShapes 2.0 (1900-2019),1,False
norway,matched,NOR-1800-2025,,True,CShapes 2.0 (1905-1940),1,False
panama,matched,PAN-1903-2025,,True,CShapes 2.0 (1903-2019),1,False
paraguay,matched,PRY-1938-2025,,True,CShapes 2.0 (1938-2019),1,False
peru,matched,PER-1942-2025,,True,CShapes 2.0 (1942-2019),1,False
peru (for agriculture),matched,PER-1942-2025,,True,CShapes 2.0 (1942-2019),1,False
peru (for export),matched,PER-1942-2025,,True,CShapes 2.0 (1942-2019),1,False
poland,matched,POL-1945-2025,,True,CShapes 2.0 (1945-2019),1,False
portugal,matched,PRT-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
portugal: madeira,subnational,PRT-1800-2025,PRT-1800-2025,True,GADM admin-1: PRT [Madeira],2,True
portuguese angola,matched,AGO-1816-2025,,True,CShapes 2.0 (1905-1975),1,False
portuguese cape verde,matched,CPV-1800-2025,,True,CShapes 2.0 (1886-1975),1,False
portuguese guinea,matched,GNB-1879-2025,,True,CShapes 2.0 (1942-1974),1,False
portuguese india,matched,POR-1800-2025,,True,GADM 4.1 fallback,1,False
portuguese macau,matched,MAC-1800-2025,,True,GADM 4.1,1,False
portuguese mozambique,matched,MOZ-1816-2025,,True,CShapes 2.0 (1891-1975),1,False
portuguese mozambique: company,subnational,MOZ-1816-2025,MOZ-1816-2025,True,"GADM admin-1 merged: MOZ [Manica, Sofala]",3,True
portuguese mozambique: niassa,subnational,MOZ-1816-2025,MOZ-1816-2025,True,"GADM admin-1 merged: MOZ [Cabo Delgado, Nassa]",3,True
portuguese mozambique: province,subnational,MOZ-1816-2025,MOZ-1816-2025,True,"GADM admin-1 merged: MOZ [Maputo, Gaza, Inhambane, Zambezia, Tete, Nampula]",3,True
portuguese sao tome and principe,matched,STP-1800-2025,,True,CShapes 2.0 (1975-2019),1,False
portuguese timor,matched,TLS-1800-2025,,True,CShapes 2.0 (1886-1976),1,False
portuguese timor and kambing,matched,TLS-1800-2025,,True,CShapes 2.0 (1886-1976),1,False
romania,matched,ROU-1940-2025,,True,CShapes 2.0 (1940-2019),1,False
russia,matched,RUS-1991-2014,,True,CShapes 2.0 (1991-2014),1,False
russia in asia,subnational,RUS-1991-2014,RUS-1991-2014,False,,,True
russia in europe,subnational,RUS-1991-2014,RUS-1991-2014,False,,,True
serbia,matched,SRB-2008-2025,,True,CShapes 2.0 (2008-2019),1,False
siam,matched,THA-1909-2025,,True,CShapes 2.0 (1909-2019),1,False
south west africa,matched,NAM-1884-2025,,True,CShapes 2.0 (1920-1966),1,False
spain,matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (associated cultivation),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (in production),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (mixed cultivation),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (production area),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (simple cultivation),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (specialist cultivation),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (total area),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
spain (total cultivation),matched,ESP-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
