prefix,code1,name1,type1,code2,name2,type2,overlap_years,category
NOR,NOR-1904-1913,Northern Nigeria (1904-1913),historical,NOR-1905-1911,Northwestern Rhodesia (1905-1911),historical,7,iso_collision
PAL,PAL-1918-2025,Palestine/Jordan,mandate,PAL-1920-1948,Palestine (1920-1948),mandate,29,iso_collision
PAP,PAP-1800-1870,Papal States,historical,PAP-1800-1949,Papua (to 1949),historical,71,iso_collision
PER,PER-1800-1896,Perak (to 1896),historical,PER-1825-1909,Peru (to 1909),historical,72,iso_collision
PER,PER-1825-1909,Peru (to 1909),historical,PER-1909-1922,Peru (1909-1922),historical,1,same_entity_period_split
PER,PER-1909-1922,Peru (1909-1922),historical,PER-1922-1942,Peru (1922-1942),historical,1,same_entity_period_split
PER,PER-1922-1942,Peru (1922-1942),historical,PER-1942-2025,Peru,sovereign,1,same_entity_period_split
PRI,PRI-1800-1866,Prince Edward Island,historical,PRI-1800-2025,Puerto Rico,dependency,67,different_type_dual
REU,REU-1816-2025,Réunion,dependency,REU-1816-1870,Reuss,historical,55,different_type_dual
RWA,RWA-1920-1962,Rwanda and Burundi (1920-1962),mandate,RWA-1962-2025,Rwanda,sovereign,1,different_type_dual
SAR,SAR-1800-1860,Sardinia,historical,SAR-1841-2025,Sarawak,aggregate,20,different_type_dual
SAR,SAR-1841-2025,Sarawak,aggregate,SAR-1888-1963,Sarawak (1888-1963),colonial,76,same_entity_period_split
SOU,SOU-1800-1900,South Australia (to 1900),historical,SOU-1838-1900,South Australia,historical,63,same_entity_period_split
SOU,SOU-1800-1900,South Australia (to 1900),historical,SOU-1899-1906,Southern Nigeria (1899-1906),historical,2,iso_collision
SOU,SOU-1838-1900,South Australia,historical,SOU-1899-1906,Southern Nigeria (1899-1906),historical,2,iso_collision
SOU,SOU-1899-1906,Southern Nigeria (1899-1906),historical,SOU-1905-1945,Southern Sakhalin Island (1905-1945),historical,2,iso_collision
SOU,SOU-1899-1906,Southern Nigeria (1899-1906),historical,SOU-1906-1913,Southern Nigeria (1906-1913),historical,1,same_entity_period_split
SOU,SOU-1905-1945,Southern Sakhalin Island (1905-1945),historical,SOU-1906-1913,Southern Nigeria (1906-1913),historical,8,iso_collision
SPA,SPA-1800-1982,Spanish North Africa,colonial,SPA-1800-1912,Spanish West Africa (to 1912),colonial,113,iso_collision
SPA,SPA-1800-1982,Spanish North Africa,colonial,SPA-1858-2025,Spanish Guinea,aggregate,125,different_type_dual
SPA,SPA-1800-1982,Spanish North Africa,colonial,SPA-1912-1956,Spanish Morocco (1912-1956),colonial,45,iso_collision
SPA,SPA-1800-1982,Spanish North Africa,colonial,SPA-1912-1958,Spanish West Africa (1912-1958),colonial,47,iso_collision
SPA,SPA-1800-1982,Spanish North Africa,colonial,SPA-1958-1975,Western Sahara (1958-1975),historical,18,different_type_dual
SPA,SPA-1800-1912,Spanish West Africa (to 1912),colonial,SPA-1858-2025,Spanish Guinea,aggregate,55,different_type_dual
SPA,SPA-1800-1912,Spanish West Africa (to 1912),colonial,SPA-1912-1956,Spanish Morocco (1912-1956),colonial,1,boundary_transition
SPA,SPA-1800-1912,Spanish West Africa (to 1912),colonial,SPA-1912-1958,Spanish West Africa (1912-1958),colonial,1,same_entity_period_split
