iso3,name,cs_name,area_gadm_km2,area_cshapes_km2,area_ratio,iou,centroid_offset_deg
KHM,Cambodia,Cambodia (Kampuchea),181359.62796488835,181750.81323223404,1.0021569589204353,0.9846779074147769,0.010018718224911276
KIR,Kiribati,Kiribati,1012.08208539127,422.6307648015213,0.4175854615963612,0.28924258322472696,115.26945014924425
KNA,Saint Kitts and Nevis,St. Kitts and Nevis,267.1207249618986,195.59234988431342,0.7322245397178082,0.513943622384829,0.07532647633709541
KOR,South Korea,"Korea, Republic of",100229.22683956474,97195.11915749135,0.9697283140083478,0.9356579732321244,0.04481123173962445
KWT,Kuwait,Kuwait,17388.83267251395,16753.026739728673,0.9634359623351672,0.9363534673614854,0.026365914025053713
LAO,Laos,Laos,230001.60364518236,229904.6099566644,0.9995782912511011,0.9787193962163654,0.008765049329368094
LBN,Lebanon,Lebanon,10238.058796129328,10209.364376350293,0.9971972792547468,0.9598423091286545,0.0037547758827144806
LBR,Liberia,Liberia,95918.08537731838,96000.39308803678,1.000858104187491,0.9834967773173916,0.0028015860786497013
LBY,Libya,Libya,1616066.2111251913,1617563.908694573,1.0009267550791368,0.9967629339311082,0.008814029053458053
LCA,Saint Lucia,St. Vincent and the Grenadines,614.4297627268892,342.2388344664985,0.5570023706983444,0.0,0.6824220433489393
LKA,Sri Lanka,Sri Lanka (Ceylon),65837.40264245149,65983.28591543811,1.0022158114860467,0.97202641494533,0.016259935327956263
LSO,Lesotho,Lesotho,30545.2732775432,30516.228874202046,0.999049135914508,0.9746689623452194,0.004190506239229906
LTU,Lithuania,Lithuania,65016.84227763963,65024.38447121595,1.0001160036893841,0.9818125520309604,0.0070775207666451114
LUX,Luxembourg,Luxembourg,2581.557205440828,2581.6539805103303,1.0000374870908528,0.9341487016352384,0.008977590154137481
LVA,Latvia,Latvia,64710.1050068021,64643.19787282374,0.9989660481315658,0.9811908150280778,0.004620641316275591
MAR,Morocco,Morocco,413488.56720820034,672202.9892858046,1.6256870022414331,0.5871047142613649,3.818737389465948
MDA,Moldova,Moldova,33907.86521908111,33681.95446959487,0.9933375118714607,0.9560452981543149,0.012023241368581735
MDG,Madagascar,Madagascar (Malagasy),591446.3654631103,592863.2339759025,1.0023955993231657,0.9888112208513482,0.007423247859928187
MDV,Maldives,Maldives,299.6846234483159,33.6215383962764,0.11218973469312757,0.008463222585439323,0.5024621108183845
MEX,Mexico,Mexico,1952022.788215578,1956759.1020838874,1.0024263619753329,0.9890198031823829,0.014477993821651084
MHL,Marshall Islands,Marshall Islands,300.2827239711966,34.693015311229644,0.11553450312565244,0.008799884327022953,1.0821767154252095
MKD,Macedonia,Macedonia (FYROM/North Macedonia),24825.117468640212,25460.66699237542,1.025601068133436,0.9680019516995233,0.008761642410945904
MLI,Mali,Mali,1251193.2708258184,1252291.549600527,1.0008777850715131,0.993453411217959,0.006317677563318805
MMR,Myanmar,Myanmar (Burma),669297.3896758071,666947.4000960308,0.9964888708427287,0.9800593101447869,0.03834603192068181
MNE,Montenegro,Montenegro,13335.332079545373,14010.068483265051,1.0505976453900712,0.9144760382563808,0.03048824222980756
MNG,Mongolia,Mongolia,1566250.9379725866,1562924.0455112252,0.9978758879687135,0.9932690460948922,0.016122347173018116
MOZ,Mozambique,Mozambique,787296.5548880476,786319.430241744,0.9987588861652741,0.9890168896129922,0.0007683974089336063
MRT,Mauritania,Mauritania,1041172.3463925255,1038483.2606343116,0.9974172520356201,0.9951174353747713,0.007089626321911772
MUS,Mauritius,Mauritius,2027.4099212362034,2133.436912385154,1.0522967703957475,0.8802064479800779,0.13881522200962682
MWI,Malawi,Malawi,118028.7064273876,118483.74422086371,1.0038553145861684,0.9746596293479244,0.00679944074645915
MYS,Malaysia,Malaysia,329383.42133247387,328391.2508575927,0.9969877947382187,0.9723097190640689,0.0017497414923767116
NAM,Namibia,Namibia,823854.9145390724,824759.484107921,1.001097971927927,0.9955580673702346,0.006747598255748695
NER,Niger,Niger,1183670.3590624374,1182017.0585583819,0.9986032424556401,0.9950482527199982,0.003963846657192733
NGA,Nigeria,Nigeria,908410.0895658024,908494.2681050447,1.000092665790714,0.9907274235867114,0.007803633505307011
NIC,Nicaragua,Nicaragua,128219.7911774866,128096.74598204429,0.9990403572310301,0.9819152822680904,0.0054267616528306546
NLD,Netherlands,Netherlands,37665.826091517,34936.803051848896,0.9275464440090236,0.9095967664941065,0.03999176761526279
NOR,Norway,Norway,325122.97317516495,320644.0262628685,0.9862238374958407,0.9266395637450464,0.01909541766559526
NPL,Nepal,Nepal,147662.66661874438,147167.03741484167,0.9966435036339796,0.9790882713788338,0.009662683811625243
NRU,Nauru,Nauru,22.151058153244357,27.162883064888188,1.2262566815982907,0.6214852833554889,0.00816336931467436
NZL,New Zealand,New Zealand,268709.4392209467,268491.76007273956,0.999189908814375,0.9486702058942369,0.3150574826349374
OMN,Oman,Oman,309336.64754732914,308621.5505155963,0.9976882886738357,0.98726462116051,0.019682591019339155
PAK,Pakistan,Pakistan,874177.3092359419,876533.6782022299,1.002695527487836,0.986416040318592,0.012705719361493546
PAN,Panama,Panama,75103.88097560323,74108.41016978204,0.9867454145792472,0.9477390649974131,0.008238937603833372
PER,Peru,Peru,1292817.7298646055,1290854.2029158208,0.9984812035730741,0.9902885513718475,0.02067799431884909
PHL,Philippines,Philippines,295856.8083322153,292048.3978720081,0.9871275213111514,0.9400684228528948,0.014309834715513626
PLW,Palau,Palau,487.50623824756514,380.06092336378896,0.7796021743844571,0.5864457604320967,0.1238321890557667
PNG,Papua New Guinea,Papua New Guinea,463631.29474484886,461688.7880433215,0.9958102338570645,0.9648944243912234,0.015470373570530885
POL,Poland,Poland,312400.04067412275,311678.8429199802,0.9976914287444192,0.9919532639554144,0.00880976299623728
