polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
FSO-1884-1977,French Somalia,colonial,Africa,1884,1977,FSO,polity,2,1,3
GWA-1884-1914,German West Africa,colonial,Africa,1884,1914,GWA,polity,1,1,2
BBE-1885-1895,British Bechuanaland,colonial,Africa,1885,1895,BBE,polity,1,1,2
GER-1887-1888,German Togoland (1887-1888),colonial,Africa,1887,1888,GER,polity,3,4,7
GER-1888-1896,German Togoland (1888-1896),colonial,Africa,1888,1896,GER,polity,6,4,10
ITA-1889-1924,Italian Somaliland (1889-1924),colonial,Africa,1889,1924,ITA,polity,3,1,4
CAP-1895-1910,Cape Colony (1895-1910),colonial,Africa,1895,1910,CAP,polity,3,1,4
FRE-1895-1898,French West Africa (1895-1898),colonial,Africa,1895,1898,FRE,polity,1,4,5
NAT-1895-1910,Natal (1895-1910),colonial,Africa,1895,1910,NAT,polity,3,1,4
GER-1897-1919,German Togoland (1897-1919),colonial,Africa,1897,1919,GER,polity,6,4,10
FRE-1898-1902,French West Africa (1898-1902),colonial,Africa,1898,1902,FRE,polity,4,4,8
FRE-1902-1904,French West Africa (1902-1904),colonial,Africa,1902,1904,FRE,polity,4,1,5
KAM-1912-1919,Cameroon (Kamerun) (1912-1919),colonial,Africa,1912,1919,KAM,polity,3,1,4
SPA-1912-1956,Spanish Morocco (1912-1956),colonial,Africa,1912,1956,SPA,polity,5,1,6
SPA-1912-1958,Spanish West Africa (1912-1958),colonial,Africa,1912,1958,SPA,polity,3,4,7
GER-1919-1922,German Togoland (1919-1922),colonial,Africa,1919,1922,GER,polity,6,1,7
BRI-1922-1955,British Togoland (1922-1955),colonial,Africa,1922,1955,BRI,polity,1,1,2
ITA-1924-1960,Italian Somaliland (1924-1960),colonial,Africa,1924,1960,ITA,polity,2,1,3
FED-1953-1964,Federation of Rhodesia and Nyasaland (1953-1964),colonial,Africa,1953,1964,FED,polity,1,4,5
SOU-1956-1958,Southern zone of Spanish Morocco (1956-1958),colonial,Africa,1956,1958,SOU,polity,1,1,2
