polity_name,start_year,end_year,area
New Guinea (German New Guinea) (Kaiser Wilhelmsland),NA,1920,229298.898386706
New Guinea (German New Guinea) (Kaiser Wilhelmsland),1920,1949,238796.189211249
New South Wales,NA,1900,796733.277415634
New Zealand,NA,NA,268101.034857588
Newfoundland,NA,1948,396828.686439416
Nicaragua,NA,NA,128586.608652505
Niger,1905,1932,1185891.80588567
Niger,1932,1947,1263731.12898554
Niger,1947,NA,1185891.80588567
Nigeria,1914,1961,866036.745807012
Nigeria,1961,NA,912219.273623346
Northeastern Rhodesia,1900,1911,286606.125632746
Northern Nigeria,1899,1904,730177.31095067
Northern Nigeria,1904,1913,663243.858942583
Northwestern Rhodesia,1900,1905,370862.080595506
Northwestern Rhodesia,1905,1911,468137.323795851
Norway,1905,NA,318628.62116756
Oil Rivers Protectorate,NA,1898,130903.211531613
Oman,NA,NA,309660.179780988
Orange Free State,NA,1910,129891.717566991
Pahang,1888,1896,36455.0585197483
Pakistan,1947,1949,934016.1207383
Pakistan,1949,1971,1015700.83197712
Pakistan,1971,NA,877537.094783043
Palestine,1920,1948,26985.9139403031
Panama,1903,NA,74419.3274900195
Papua,NA,1949,224876.147397773
Papua New Guinea,1949,NA,463677.19930269
Paraguay,NA,1938,294164.65295738
Paraguay,1938,NA,399759.583072474
Perak,NA,1896,18179.374520828
Peru,NA,1909,1282864.23531432
Peru,1909,1922,1251241.40490556
Peru,1922,1942,1209236.49899031
Peru,1942,NA,1296118.39613374
Philippines,NA,NA,293183.93991296
Poland,1918,1919,129705.935068845
Poland,1919,1920,255625.815994623
Poland,1920,1921,283526.75610402
Poland,1921,1945,386902.807302176
Poland,1945,NA,310474.127619385
Portugal,NA,NA,91783.447742239
Puerto Rico,NA,NA,9176.43386321997
Qatar,1916,NA,11111.7629595083
Queensland,NA,1900,1752921.39389172
Reunion,NA,NA,2649.32196647983
Rumania,NA,1913,128205.126580991
Rumania,1913,1918,135877.331430671
Rumania,1918,1919,128205.126580991
Rumania,1919,1920,148588.81906491
Rumania,1920,1940,295360.793178762
Rumania,1940,NA,236806.396419932
Russia (Soviet Union),NA,1905,21908168.6343277
Russia (Soviet Union),1905,1914,21876158.1409667
Russia (Soviet Union),1914,1917,22040593.9017971
Russia (Soviet Union),1917,1918,21654307.9352828
Russia (Soviet Union),1918,1920,21300455.7395264
Russia (Soviet Union),1920,1921,21551628.6881415
Russia (Soviet Union),1921,1940,21448252.6369433
Russia (Soviet Union),1940,1945,21722751.6029151
Russia (Soviet Union),1945,1991,21959353.9056619
Russia (Soviet Union),1991,2014,16789262.1174062
Russia (Soviet Union),2014,NA,16815039.1148654
Rwanda,1962,NA,25250.4277247102
Rwanda-Urundi,1920,1962,52558.9210608826
Sabah (North Borneo),1888,1963,72937.2804552859
Sarawak,1888,1963,124830.638537345
Saudi Arabia,1932,2000,1958840.64188518
Saudi Arabia,2000,NA,1928896.72010129
Selangore,NA,1896,6886.92466491164
Senegal,NA,NA,196714.014947168
Serbia,NA,1913,52431.4375481092
Serbia,1913,1918,90480.0598714095
Serbia,2006,2008,87745.3703366475
Serbia,2008,NA,77026.1117602365
Sierra Leone,NA,1889,83545.5586582519
Sierra Leone,1889,NA,72783.1072989976
Singapore,1946,NA,547.162236794856
Slovakia,1993,NA,48776.3836567033
Slovenia,1992,NA,20375.7763221332
Solomon Islands,1893,1899,19722.3355504546
Solomon Islands,1899,NA,26973.0688874207
Somalia,1960,NA,638975.45206617
South Africa,1910,NA,1221851.49237202
South Australia,NA,1900,2318435.4175131
South Sudan,2011,NA,629999.263404967
Southern Nigeria,1899,1906,130903.211531613
Southern Nigeria,1906,1913,202975.291219082
Southern Sakhalin Island,1905,1945,32010.4956377213
Southern zone of Spanish Morocco,1956,1958,28733.309383543
Spain,NA,NA,505568.104996159
Spanish Morocco,1912,1956,52841.9316554517
Spanish Sahara,1958,1975,269648.505201499
Spanish West Africa,NA,1912,176830.71494455
Spanish West Africa,1912,1958,269648.505201531
Sri Lanka (Ceylon),NA,NA,66263.8820909618
Straits Settlements,NA,1946,3617.26783262199
Sudan,1899,1902,2599747.0986587
Sudan,1902,1910,2547887.57061283
Sudan,1910,1934,2588847.45482901
Sudan,1934,2011,2496011.66006353
Sudan,2011,NA,1866012.39665855
