continent,polity_name,imports_start,imports_end,exports_start,exports_end,population_start,population_end,population_estimate,notes
Oceania,Mariana Island,1800,1938,,,,,,Spanish colony 1800-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
Oceania,Marquesas Island,1844,1903,,,,,,Joint estimation with French settlements Oceania
Oceania,Marshall Island,1874,1938,,,,,,Spanish colony 1870-1898; German colony 1898-1914;Japanese mandate 1914-1938; joint estimate with German colonies Oceania
Oceania,Midway Island,1859,1938,,,,,,Joint estimation with US Settlement Oceania
Oceania,Nauru,1888,1938,,,,,,British-Australian mandate 1914-1938; Joint estimation with German colonies Oceania
Oceania,New Caledonia,1853,1938,,,,,,Joint estimation with French settlements Oceania
Oceania,New Guinea,1884,1938,,,,,,German colony 1884; Australian mandate 1914-1938; Joint estimation with German colonies Oceania
Oceania,New Hebrides,1906,1938,,,,,,British-French condominium;  joint estimates British settlement Oceania; present-day Vanuatu
Oceania,Niue Island,1900,1901,,,,,,annexed to New Zealand 1901-1938; Joint estimation New Zealand
Oceania,Norfolk Island,1800,1901,,,,,,annexed to Australia; joint estimate with Australia
Oceania,Palmyra Island,1889,1912,,,,,,1862-1898 Hawaii then USA; joint estimate with Hawaii
Oceania,Pitcairn Island,1839,1938,,,,,,UK colony; joint estimation British settlement Oceania
Oceania,Queensland,1859,1900,,,,,,Joint estimation with Australia; 1800-1858 part of New South Wales
Oceania,Society Islands  (Tahiti),1844,1903,,,,,,independent Kingdom to 1844; French protectorate 1844-1881; then French colony joint estimate with French settlement Oceania
Oceania,Solomon Islands,1885,1938,,,,,,German colony 1885-1900; British 1900-1938; Joint estimation with British settlement Oceania
Oceania,South Australia,1838,1900,,,,,,Joint estimation with Australia
Oceania,Tokelau Island,1877,1938,,,,,,British colony; administered New Zealand after 1926 Joint estimation with British Settlement Oceania
Oceania,Tongan Islands,1800,1938,,,,,,Quasi independent kingdom; joit estimate with British settlment Oceania
Oceania,US settlement Oceania,1859,1938,,,,,,
Oceania,Van Diemen's Land (Tasmania),1828,1900,,,,,,Joint estimation with Australia; 1800-1825 New South Wales;
Oceania,Victoria,1853,1900,,,,,,Joint estimation with Australia; 1800-1852 New South Wales;
Oceania,Wake Island,1898,1938,,,,,,Joint estimation with US settlement Oceania
Oceania,Wallis and Futuna Island,1842,1938,,,,,,Joint estimation with French Polinesia
Oceania,Western Australia,1838,1900,,,,,,Joint estimation with Australia
Oceania,Western Samoa,1900,1938,,,,,,German colony 1899-1915; New Zealand mandate; joint estimate with German colonies Oceania
