unit_kind,key,status,issue_id,evidence_hash,last_run,last_commit
match,EI Salvador,fixed,,,2026-06-26,
match,British Borneo Sarawak,fixed,,,2026-06-26,
match,Basutoland,fixed,,,2026-06-26,
match,Trieste,issue,,,2026-06-26,
match,Germany Berlin,fixed,,,2026-06-26,
match,Bermuda,fixed,,,2026-06-26,
match,Alaska,fixed,,,2026-06-26,
match,Libya Tripolitania,fixed,,,2026-06-26,
match,China Manchuria,fixed,,,2026-06-26,
match,Germany Eastern,unreviewed,,,2026-06-26,
match,Gold Coast,fixed,,,2026-06-26,
match,united states virgin islands,fixed,,,2026-06-26,
match,Indonesia Java and Madura,issue,,,2026-06-26,
match,malawi,fixed,,,2026-06-26,
match,Union of S Africa,fixed,,,2026-06-26,
match,United States and dependent territories,fixed,,,2026-06-26,
match,Dominican Rep,fixed,,,2026-06-26,
match,british virgin islands,fixed,,,2026-06-26,
match,New Hebrides,fixed,,,2026-06-26,
match,China Taiwan,fixed,,,2026-06-26,
match,Korea South,fixed,,,2026-06-26,
match,azerbaijan,fixed,,,2026-06-26,
match,czechoslovakia,fixed,,,2026-06-26,
match,micronesia (federated states of),fixed,,,2026-06-26,
match,American Samoa,fixed,,,2026-06-26,
match,Malaya Fed of,issue,,,2026-06-26,
match,israel/palestine,fixed,,,2026-06-26,
match,British West Indies,fixed,,,2026-06-26,
match,rwanda,fixed,,,2026-06-26,
match,Netherlands W Indies,fixed,,,2026-06-26,
match,yemen,issue,,,2026-06-26,
match,Falkland Islands,fixed,,,2026-06-26,
polity,IDN-JVM-1949-1951,correct,,,2026-07-02,
match,Gold Coast and Br Togoland,fixed,,,2026-06-26,
match,Aden Protectorate,fixed,,,2026-06-26,
match,Pacific Is us trust,issue,,,2026-06-26,
match,Portuguese Guinea,fixed,,,2026-06-26,
match,New Guinea,fixed,,,2026-06-26,
match,Papua,fixed,,,2026-07-02,
match,cameroon,fixed,,,2026-06-26,
match,Br West Indies Jamaica,fixed,,,2026-06-26,
match,British West Indies Leeward Islands,fixed,,,2026-06-26,
match,Virgin Islands US,fixed,,,2026-06-26,
match,Indonesia Other islands,fixed,,,2026-06-26,
match,Neth West Indies,fixed,,,2026-06-26,
match,St Helena,fixed,,,2026-06-26,
match,Trieste UK-US,fixed,,,2026-06-26,
match,palau,fixed,,,2026-06-26,
match,Br Solomon Islands,fixed,,,2026-06-26,
match,British West Indies St Vincent,fixed,,,2026-06-26,
match,Federation of Malaya,issue,,,2026-06-26,
match,Libya,unreviewed,,,2026-06-26,
match,Spanish Guinea,fixed,,,2026-06-26,
match,Western,correct,,c00c7537fd6127d8,2026-07-02,
match,Br West Indies St Kitts-Nevis Anguilla,fixed,,,2026-06-26,
match,Br West Indies St Lucia,fixed,,,2026-06-26,
match,British Somaliland,fixed,,,2026-06-26,
match,British Togoland,fixed,,,2026-06-26,
match,Gold Coast and British Togoland,fixed,,,2026-06-26,
match,singapore,unreviewed,,,2026-06-26,
match,yugoslav sfr,fixed,,,2026-06-26,
match,British West Indies Grenada,fixed,,,2026-06-26,
match,Cape Verde Islands,fixed,,,2026-06-26,
match,France Saar,fixed,,,2026-06-26,
match,French North Africa,correct,,f6ff5f2ccae64015,2026-07-02,
polity,AUS-1800-1901,correct,,2b153f241970b3d4,2026-06-29,
polity,AUS-1901-2025,correct,,441e45bbb3b7aef9,2026-06-29,
polity,AUSA-1836-1900,correct,,2b153f241970b3d4,2026-06-29,
