source,country,item,year,area_ha,prod_t
iia,algeria,"beans, dry",1936,0.0,300.0
iia,dominica,oranges,1933,0.0,300.0
iia,algeria,"beans, dry",1938,0.0,300.0
iia,australia,olives,1933,0.0,300.0
iia,french polynesia,"tobacco, unmanufactured",1934,0.0,300.0
iia,benin,"cacao, beans",1934,0.0,300.0
iia,benin,"cacao, beans",1935,0.0,300.0
iia,benin,"cacao, beans",1936,0.0,300.0
iia,french polynesia,"tobacco, unmanufactured",1935,0.0,300.0
iia,dominica,oranges,1935,0.0,300.0
iia,dominica,oranges,1934,0.0,300.0
iia,madagascar,wine,1934,0.0,291.0
iia,madagascar,wine,1936,0.0,291.0
iia,micronesia (federated states of),"tobacco, unmanufactured",1937,0.0,200.0
iia,new zealand,rye,1937,0.0,200.0
iia,cyprus,"beans, dry",1933,0.0,200.0
iia,"china, taiwan province of",rapeseed,1937,0.0,200.0
iia,tunisia,flax fibre and tow,1935,0.0,200.0
iia,tunisia,flax fibre and tow,1934,0.0,200.0
iia,belgium,yarn of true hemp,1938,0.0,200.0
iia,antigua and barbuda,cotton seed,1935,0.0,200.0
iia,mauritania,"tobacco, unmanufactured",1937,0.0,200.0
iia,australia,flax fibre and tow,1933,0.0,200.0
iia,morocco,cotton seed,1937,0.0,200.0
iia,australia,flax fibre and tow,1935,0.0,200.0
iia,viet nam,jute,1935,0.0,200.0
iia,algeria,cotton seed,1937,0.0,200.0
iia,viet nam,jute,1936,0.0,200.0
iia,dominica,grapefruit (inc. pomelos),1933,0.0,200.0
iia,zambia,oranges,1935,0.0,200.0
iia,zambia,oranges,1934,0.0,200.0
iia,zambia,oranges,1933,0.0,200.0
iia,new zealand,rye,1935,0.0,200.0
iia,madagascar,wine,1933,0.0,194.0
iia,tunisia,flax fibre and tow,1937,0.0,100.0
iia,tunisia,flax fibre and tow,1936,0.0,100.0
iia,guadeloupe,cotton seed,1935,0.0,100.0
iia,senegal,"other citrus fruit, n.e.c.",1933,0.0,100.0
iia,senegal,"other citrus fruit, n.e.c.",1934,0.0,100.0
iia,algeria,cotton lint,1936,0.0,100.0
iia,somalia,sesame seed,1935,0.0,100.0
iia,australia,flax fibre and tow,1934,0.0,100.0
iia,vanuatu,cotton seed,1935,0.0,100.0
iia,antigua and barbuda,cotton seed,1936,0.0,100.0
iia,algeria,cotton seed,1936,0.0,100.0
iia,zambia,"groundnuts, with shell",1934,0.0,100.0
iia,viet nam,jute,1934,0.0,100.0
iia,zambia,lemons and limes,1937,0.0,100.0
iia,zambia,lemons and limes,1936,0.0,100.0
iia,tunisia,flax fibre and tow,1938,0.0,100.0
iia,zambia,"groundnuts, with shell",1936,0.0,100.0
iia,zambia,"groundnuts, with shell",1935,0.0,100.0
iia,antigua and barbuda,cotton lint,1935,0.0,100.0
iia,kenya,flax fibre and tow,1935,0.0,100.0
iia,new zealand,rye,1936,0.0,100.0
iia,mauritius,"groundnuts, with shell",1937,0.0,100.0
iia,dominica,grapefruit (inc. pomelos),1936,0.0,100.0
iia,dominica,grapefruit (inc. pomelos),1935,0.0,100.0
iia,malawi,"coffee, green",1934,0.0,100.0
iia,malawi,"coffee, green",1935,0.0,100.0
iia,malawi,cotton lint,1937,0.0,100.0
iia,malawi,cotton seed,1937,0.0,100.0
iia,dominica,grapefruit (inc. pomelos),1934,0.0,100.0
iia,cyprus,yarn of true hemp,1938,0.0,100.0
iia,cyprus,yarn of true hemp,1937,0.0,100.0
iia,cyprus,yarn of true hemp,1936,0.0,100.0
iia,cyprus,yarn of true hemp,1935,0.0,100.0
iia,mauritius,"groundnuts, with shell",1934,0.0,100.0
iia,mauritius,"groundnuts, with shell",1935,0.0,100.0
iia,mauritius,"groundnuts, with shell",1936,0.0,100.0
iia,austria,yarn of true hemp,1934,0.0,100.0
iia,new zealand,rye,1934,0.0,100.0
iia,"china, taiwan province of",rapeseed,1935,0.0,100.0
iia,"china, taiwan province of",rapeseed,1934,0.0,100.0
iia,guatemala,cotton seed,1935,0.0,100.0
iia,guadeloupe,cotton seed,1938,0.0,100.0
iia,guadeloupe,cotton seed,1937,0.0,100.0
iia,austria,yarn of true hemp,1937,0.0,100.0
iia,austria,yarn of true hemp,1936,0.0,100.0
iia,austria,yarn of true hemp,1935,0.0,100.0
iia,guadeloupe,cotton seed,1936,0.0,100.0
iia,australia,flax fibre and tow,1936,0.0,100.0
iia,mauritius,tea,1935,0.0,40.0
iia,mauritius,tea,1937,0.0,38.0
iia,mauritius,tea,1936,0.0,31.0
iia,mauritius,tea,1934,0.0,17.0
iia,antigua and barbuda,cotton lint,1933,0.0,1.2
