volume,country,product,variable,unit,year,grid,verdict,paired_variable,paired_value,implied_yield_bound,ref_p10,ref_p90,ref_n,factor_outside,paired_vs_series_median,series_zeros,series_positives
iia_1938_39,british dominica,citrus fruits: oranges,area,hectares,1935,1000,grid_can_explain,production,300,0.6,0.16,11.7368,35,0.0511,1,4,0
iia_1938_39,british northern rhodesia,citrus fruits: oranges,area,hectares,1936,1000,grid_can_explain,production,300,0.6,0.16,11.7368,35,0.0511,1.5,5,0
iia_1938_39,british northern rhodesia,citrus fruits: oranges,area,hectares,1937,1000,grid_can_explain,production,300,0.6,0.16,11.7368,35,0.0511,1.5,5,0
iia_1938_39,british malta,"citrus fruits: lemons, mandarins, oranges",area,hectares,1935,1000,grid_can_explain,production,300,0.6,1.42,11.7836,9,0.0509,1,5,0
iia_1938_39,british malta,"citrus fruits: lemons, mandarins, oranges",area,hectares,1936,1000,grid_can_explain,production,300,0.6,1.42,11.7836,9,0.0509,1,5,0
iia_1938_39,british malta,"citrus fruits: lemons, mandarins, oranges",area,hectares,1937,1000,grid_can_explain,production,300,0.6,1.42,11.7836,9,0.0509,1,5,0
iia_1938_39,british‑french cameroon,tobacco,area,hectares,1935,1000,grid_can_explain,production,4400,8.8,44.1233,174.4262,325,0.0505,0.5986,4,0
iia_1938_39,french dahomey,tobacco,area,hectares,1934,1000,grid_can_explain,production,4000,8,44.1233,174.4262,325,0.0459,1,5,0
iia_1938_39,french dahomey,tobacco,area,hectares,1935,1000,grid_can_explain,production,4000,8,44.1233,174.4262,325,0.0459,1,5,0
iia_1938_39,french dahomey,tobacco,area,hectares,1936,1000,grid_can_explain,production,4000,8,44.1233,174.4262,325,0.0459,1,5,0
iia_1938_39,french dahomey,tobacco,area,hectares,1937,1000,grid_can_explain,production,4000,8,44.1233,174.4262,325,0.0459,1,5,0
iia_1938_39,italian eritrea,tobacco,area,hectares,1934,1000,grid_can_explain,production,3500,7,44.1233,174.4262,325,0.0401,1.5217,5,0
iia_1938_39,british cyprus,tobacco,area,hectares,1937,1000,grid_can_explain,production,3400,6.8,44.1233,174.4262,325,0.039,0.1932,3,1
iia_1938_39,us samoa,tobacco,area,hectares,1933,1000,grid_can_explain,production,3400,6.8,44.1233,174.4262,325,0.039,72.6496,2,0
iia_1938_39,french dahomey,tobacco,area,hectares,1933,1000,grid_can_explain,production,3000,6,44.1233,174.4262,325,0.0344,0.75,5,0
iia_1938_39,british northern rhodesia,citrus fruits: oranges,area,hectares,1933,1000,grid_can_explain,production,200,0.4,0.16,11.7368,35,0.0341,1,5,0
iia_1938_39,british northern rhodesia,citrus fruits: oranges,area,hectares,1934,1000,grid_can_explain,production,200,0.4,0.16,11.7368,35,0.0341,1,5,0
iia_1938_39,british northern rhodesia,citrus fruits: oranges,area,hectares,1935,1000,grid_can_explain,production,200,0.4,0.16,11.7368,35,0.0341,1,5,0
iia_1938_39,british mauritius,tea,area,hectares,1934,1000,grid_can_explain,production,17,0.034,0.201,1,91,0.034,0.7083,5,0
iia_1938_39,british malta,"citrus fruits: lemons, mandarins, oranges",area,hectares,1934,1000,grid_can_explain,production,200,0.4,1.42,11.7836,9,0.0339,0.6667,5,0
iia_1938_39,british mauritius,tea,area,hectares,1933,1000,grid_can_explain,production,16,0.032,0.201,1,91,0.032,0.6667,5,0
iia_1938_39,italian eritrea,tobacco,area,hectares,1936,1000,grid_can_explain,production,2700,5.4,44.1233,174.4262,325,0.031,1.1739,5,0
iia_1938_39,italian eritrea,tobacco,area,hectares,1935,1000,grid_can_explain,production,2500,5,44.1233,174.4262,325,0.0287,1.087,5,0
iia_1938_39,british dominica,citrus fruits: grapefruits,area,hectares,1934,1000,grid_can_explain,production,100,0.2,1.05,7.6567,12,0.0261,1,4,0
iia_1938_39,british dominica,citrus fruits: grapefruits,area,hectares,1935,1000,grid_can_explain,production,100,0.2,1.05,7.6567,12,0.0261,1,4,0
iia_1938_39,british dominica,citrus fruits: grapefruits,area,hectares,1936,1000,grid_can_explain,production,100,0.2,1.05,7.6567,12,0.0261,1,4,0
iia_1938_39,usa: hawaii,vineyards: all,area,hectares,1933,1000,grid_can_explain,production,100,0.2,1.5278,7.7154,110,0.0259,,3,0
iia_1938_39,usa: hawaii,vineyards: all,area,hectares,1934,1000,grid_can_explain,production,100,0.2,1.5278,7.7154,110,0.0259,,3,0
iia_1938_39,italian eritrea,tobacco,area,hectares,1937,1000,grid_can_explain,production,2100,4.2,44.1233,174.4262,325,0.0241,0.913,5,0
iia_1938_39,italian eritrea,tobacco,area,hectares,1933,1000,grid_can_explain,production,2000,4,44.1233,174.4262,325,0.0229,0.8696,5,0
iia_1938_39,us samoa,tobacco,area,hectares,1934,1000,grid_can_explain,production,2000,4,44.1233,174.4262,325,0.0229,42.735,2,0
iia_1938_39,french cambodia,citrus fruits: oranges,area,hectares,1933,1000,grid_can_explain,production,100,0.2,0.16,11.7368,35,0.017,,3,0
iia_1938_39,japanese south pacific,tobacco,area,hectares,1933,1000,grid_can_explain,production,1300,2.6,44.1233,174.4262,325,0.0149,1.2381,5,0
iia_1938_39,japanese south pacific,tobacco,area,hectares,1935,1000,grid_can_explain,production,1100,2.2,44.1233,174.4262,325,0.0126,1.0476,5,0
iia_1938_39,japanese south pacific,tobacco,area,hectares,1934,1000,grid_can_explain,production,1000,2,44.1233,174.4262,325,0.0115,0.9524,5,0
iia_1938_39,french mauritania,tobacco,area,hectares,1935,1000,grid_can_explain,production,700,1.4,44.1233,174.4262,325,0.008,1.5556,4,0
iia_1938_39,french mauritania,tobacco,area,hectares,1934,1000,grid_can_explain,production,500,1,44.1233,174.4262,325,0.0057,1.1111,4,0
iia_1938_39,french mauritania,tobacco,area,hectares,1933,1000,grid_can_explain,production,400,0.8,44.1233,174.4262,325,0.0046,0.8889,4,0
iia_1938_39,japanese south pacific,tobacco,area,hectares,1936,1000,grid_can_explain,production,400,0.8,44.1233,174.4262,325,0.0046,0.381,5,0
iia_1938_39,french oceania,tobacco,area,hectares,1933,1000,grid_can_explain,production,300,0.6,44.1233,174.4262,325,0.0034,1,5,0
iia_1938_39,french oceania,tobacco,area,hectares,1934,1000,grid_can_explain,production,300,0.6,44.1233,174.4262,325,0.0034,1,5,0
iia_1938_39,french oceania,tobacco,area,hectares,1935,1000,grid_can_explain,production,300,0.6,44.1233,174.4262,325,0.0034,1,5,0
iia_1938_39,french oceania,tobacco,area,hectares,1936,1000,grid_can_explain,production,300,0.6,44.1233,174.4262,325,0.0034,1,5,0
iia_1938_39,french oceania,tobacco,area,hectares,1937,1000,grid_can_explain,production,300,0.6,44.1233,174.4262,325,0.0034,1,5,0
iia_1938_39,french mauritania,tobacco,area,hectares,1937,1000,grid_can_explain,production,200,0.4,44.1233,174.4262,325,0.0023,0.4444,4,0
iia_1938_39,japanese south pacific,tobacco,area,hectares,1937,1000,grid_can_explain,production,200,0.4,44.1233,174.4262,325,0.0023,0.1905,5,0
