raw_label,assigned_modern,iso3,layer_b_label,kind,n_labels_on_target,parent_label,n_sub_labels,notes_countries,notes,mixing_observed,fingerprint_note,dominant_raw_label,dominant_share,territory_signal
eritrea,Eritrea,ERI,eritrea,shares_target,2,,0,0,,no,italian eritrea 100%,italian eritrea,1.00,clean
italian east africa: eritrea,Eritrea,ERI,eritrea,shares_target,2,,0,0,,no,italian eritrea 100%,italian eritrea,1.00,clean
italian east africa: italian somalia,Somalia,SOM,somalia,shares_target,3,,0,0,,no,italian somaliland 100%,italian somaliland,1.00,redirected
italian aegean islands,Greece,GRC,greece,shares_target,2,,0,0,,no,greece 75%,greece,0.75,clean
somalia,Somalia,SOM,somalia,shares_target,3,,0,0,,no,italian somaliland 100%,italian somaliland,1.00,redirected
british west indies: jamaica,Jamaica,JAM,jamaica,sub_of_sibling,2,british west indies,0,0,,no,british jamaica 86%,british jamaica,0.86,clean
japan,Japan,JPN,japan,one_to_one,1,,0,0,,no,japan 97%,japan,0.97,clean
japan: sakhalin,Russian Federation,RUS,russian federation,shares_target,9,,0,0,Karafuto Prefecture,no,ussr 50%,ussr,0.50,redirected
kwantung,"China, mainland",CHN,china mainland,shares_target,5,,0,0,Territory leased from China,no,"label not measured (absent, or under --min-rows)",china,0.56,unknown
formosa,"China, Taiwan Province of",TWN,china taiwan province of,one_to_one,1,,0,0,,no,"label not measured (absent, or under --min-rows)",japanese taiwan,0.94,unknown
korea,Republic of Korea,KOR,south korea,one_to_one,1,,0,0,Divided into South Korea and North Korea after 1945.,no,japanese korea 100%,japanese korea,1.00,redirected
japanese former oceania islands,Federated States of Micronesia,FSM,micronesia federated states of,multi_country,1,,0,2,Southern Sakhalin under Japan 1905-1945; now Russian territory.,no,"label not measured (absent, or under --min-rows)",japanese south pacific,1.00,unknown
palau islands: angaur,Palau,PLW,palau,sub_of_sibling,2,palau islands,0,0,Only angaur,no,japanese south pacific: palau-angaur 100%,japanese south pacific: palau-angaur,1.00,redirected
palau islands,Palau,PLW,palau,whole_with_sub_siblings,2,,1,0,,no,japanese south pacific: palau-angaur 100%,japanese south pacific: palau-angaur,1.00,redirected
denmark,Denmark,DNK,denmark,one_to_one,1,,0,0,,no,denmark 100%,denmark,1.00,clean
egypt,Egypt,EGY,egypt,shares_target,2,,0,0,,no,egypt 67%,egypt,0.67,clean
iraq,Iraq,IRQ,iraq,one_to_one,1,,0,0,,no,british iraq 100%,british iraq,1.00,clean
italy,Italy,ITA,italy,one_to_one,1,,0,0,,no,italy 83%,italy,0.83,clean
libya,Libya,LBY,libya,whole_with_sub_siblings,3,,2,0,,no,italian libya + italian libya: tripolitania (union 60%),italian libya,0.38,mixed
libya: cyrenaica,Libya,LBY,libya,sub_of_sibling,3,libya,0,0,Cyrenaica,no,italian libya + italian libya: tripolitania (union 60%),italian libya,0.38,mixed
libya: tripolitania,Libya,LBY,libya,sub_of_sibling,3,libya,0,0,Tripolitania,no,italian libya + italian libya: tripolitania (union 60%),italian libya,0.38,mixed
nepal,Nepal,NPL,nepal,one_to_one,1,,0,0,,no,nepal 100%,nepal,1.00,clean
norway,Norway,NOR,norway,one_to_one,1,,0,0,,no,norway 100%,norway,1.00,clean
romania,Romania,ROU,romania,one_to_one,1,,0,0,,no,romania 83%,romania,0.83,clean
serbia,Serbia,SRB,serbia,shares_target,3,,0,0,,no,"yugoslavia + kingdom of serbs, croats and slovenes (union 96%)",yugoslavia,0.71,mixed
"kingdom of serbs, croats and slovenes",Serbia,SRB,serbia,multi_country,3,,0,2,"Renamed Kingdom of Yugoslavia in 1929; successor states include Serbia, Croatia, Slovenia.",no,"yugoslavia + kingdom of serbs, croats and slovenes (union 96%)",yugoslavia,0.71,mixed
siam,Thailand,THA,thailand,one_to_one,1,,0,0,,no,siam 100%,siam,1.00,redirected
netherlands,Netherlands (Kingdom of the),NLD,netherlands,one_to_one,1,,0,0,,no,netherlands 95%,netherlands,0.95,clean
yugoslavia,Serbia,SRB,serbia,shares_target,3,,0,0,,no,"yugoslavia + kingdom of serbs, croats and slovenes (union 96%)",yugoslavia,0.71,mixed
lebanese republic,Lebanon,LBN,lebanon,shares_target,3,,0,0,,no,french lebanon 92%,french lebanon,0.92,clean
lebanon,Lebanon,LBN,lebanon,shares_target,3,,0,0,,no,french lebanon 92%,french lebanon,0.92,clean
french establishments in oceania: makatea,French Polynesia,PYF,french polynesia,sub_of_sibling,2,french establishments in oceania,0,0,,yes,french oceania + french oceania: makatea island (union 100%),french oceania,0.61,mixed
west samoa,Samoa,WSM,samoa,shares_target,3,,0,0,,no,new zealand western samoa + british samoa (union 100%),new zealand western samoa,0.72,mixed
uruguay,Uruguay,URY,uruguay,one_to_one,1,,0,0,,no,uruguay 100%,uruguay,1.00,clean
iran,Iran (Islamic Republic of),IRN,iran,shares_target,2,,0,0,,no,iran 99%,iran,0.99,clean
persia,Iran (Islamic Republic of),IRN,iran,shares_target,2,,0,0,,no,iran 99%,iran,0.99,clean
mainland portugal,Portugal,PRT,portugal,shares_target,4,,0,0,,no,portugal 64%,portugal,0.64,clean
madeira,Portugal,PRT,portugal,shares_target,4,,0,0,,no,portugal 64%,portugal,0.64,clean
portugal: madeira,Portugal,PRT,portugal,sub_of_sibling,4,portugal,0,0,Only Madeira,no,portugal 64%,portugal,0.64,clean
angola,Angola,AGO,angola,one_to_one,1,,0,0,,no,portuguese angola 100%,portuguese angola,1.00,clean
portuguese guinea,Guinea-Bissau,GNB,guinea bissau,one_to_one,1,,0,0,,yes,"label not measured (absent, or under --min-rows)",portuguese guinea,1.00,unknown
portuguese india,India,IND,india,shares_target,7,,0,0,,no,british india 55%,british india,0.55,clean
macau,"China, Macao SAR",MAC,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
portuguese mozambique [colony],Mozambique,MOZ,mozambique,shares_target,2,,0,0,,no,portuguese mozambique: company concession + portuguese mozambique: province (union 84%),portuguese mozambique: company concession,0.68,mixed
sao tome and principe,Sao Tome and Principe,STP,sao tome and principe,one_to_one,1,,0,0,,yes,portuguese sao tome and principe 100%,portuguese sao tome and principe,1.00,clean
timor,Timor-Leste,TLS,timor leste,whole_with_sub_siblings,2,,1,0,,yes,"label not measured (absent, or under --min-rows)",portuguese timor and kambing,0.53,unknown
timor and kambing,Timor-Leste,TLS,timor leste,sub_of_sibling,2,timor,0,0,,yes,"label not measured (absent, or under --min-rows)",portuguese timor and kambing,0.53,unknown
portuguese mozambique [company],Mozambique,MOZ,mozambique,shares_target,2,,0,0,,no,portuguese mozambique: company concession + portuguese mozambique: province (union 84%),portuguese mozambique: company concession,0.68,mixed
austria,Austria,AUT,austria,whole_with_sub_siblings,2,,1,0,,no,austria + austria-hungary (union 85%),austria,0.73,mixed
chile,Chile,CHL,chile,one_to_one,1,,0,0,,no,chile 100%,chile,1.00,clean
china,"China, mainland",CHN,china mainland,whole_with_sub_siblings,5,,3,0,,no,"label not measured (absent, or under --min-rows)",china,0.56,unknown
china: excluding manchuria,"China, mainland",CHN,china mainland,sub_of_sibling,5,china,0,0,,no,"label not measured (absent, or under --min-rows)",china,0.56,unknown
