polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
LAO-1954-2025,1954,2025,812,national,cshapes-2.0,229987,stable_where_covered,1,1954-2019,0,229905,229905,,,0.997,0.04
LBA-1800-1885,1800,1885,,national,paine-2024,26917,no_reference,0,,0,,,,,,
LBN-1920-1944,1920,1944,660,national,cshapes-2.0,10199,stable_confirmed,1,1920-1943,0,10209,10209,,,0.989,-0.09
LBN-1944-2025,1944,2025,660,national,cshapes-2.0,10199,stable_where_covered,1,1944-2019,0,10209,10209,,,0.989,-0.09
LBR-1847-2025,1847,2025,450,national,cshapes-2.0,95990,stable_where_covered,1,1886-2019,1,96000,96000,,,0.997,-0.01
LBY-1912-1919,1912,1919,620,national,cshapes-2.0,881968,stable_confirmed,1,1912-1918,0,881872,881872,,,0.999,0.01
LBY-1919-1925,1919,1925,620,national,cshapes-2.0,1006284,stable_confirmed,1,1919-1924,0,1006149,1006149,,,0.999,0.01
LBY-1925-1934,1925,1934,620,national,cshapes-2.0,1525195,stable_confirmed,1,1925-1933,0,1524983,1524983,,,0.999,0.01
LBY-1934-1943,1934,1943,620,national,cshapes-2.0,1617898,stable_confirmed,1,1934-1942,0,1617564,1617564,,,0.999,0.02
LBY-1943-1949,1943,1949,620,national,cshapes-2.0,1617898,stable_confirmed,1,1943-1948,0,1617564,1617564,,,0.999,0.02
LBY-1949-1951,1949,1951,620,national,cshapes-2.0,1617898,stable_confirmed,1,1949-1950,0,1617564,1617564,,,0.999,0.02
LBY-1951-2025,1951,2025,620,national,cshapes-2.0,1617898,stable_where_covered,1,1951-2019,0,1617564,1617564,,,0.999,0.02
LCA-1800-1838,1800,1838,,national,gadm-4.1-adm0,613,no_reference,0,,0,,,,,,
LCA-1838-2025,1838,2025,56,national,gadm-4.1-adm0,613,no_reference,0,,0,,,,,,
LIE-1800-2025,1800,2025,,national,cshapes-europe,177,no_reference,0,,0,,,,,,
LKA-1800-2025,1800,2025,780,national,cshapes-2.0,65955,stable_where_covered,1,1886-2019,1,65983,65983,,,0.994,-0.04
LND-1800-1887,1800,1887,,national,paine-2024,67687,no_reference,0,,0,,,,,,
LSO-1868-1886,1868,1886,,national,cshapes-2.0,30503,no_reference,0,,0,,,,,,
LSO-1886-1966,1886,1966,570,national,cshapes-2.0,30503,stable_confirmed,1,1886-1965,0,30516,30516,,,0.996,-0.04
LSO-1966-2025,1966,2025,570,national,cshapes-2.0,30503,stable_where_covered,1,1966-2019,0,30516,30516,,,0.996,-0.04
LST-1822-1868,1822,1868,,national,paine-2024,39178,no_reference,0,,0,,,,,,
LTU-1800-1918,1800,1918,368,national,cshapes-2.0,83899,no_reference,0,,0,,,,,,
LTU-1918-1940,1918,1940,368,national,cshapes-2.0,55904,changed,2,1918-1939,1,83882,55858,1.502,1920,0.665,-33.35
LTU-1940-1991,1940,1991,368,national,cshapes-2.0,55904,no_reference,0,,0,,,,,,
LTU-1991-2025,1991,2025,368,national,cshapes-2.0,65071,stable_where_covered,1,1991-2019,0,65024,65024,,,0.997,0.07
LUX-1839-2025,1839,2025,212,national,cshapes-2.0,2591,stable_where_covered,1,1886-2019,0,2582,2582,,,0.993,0.34
LVA-1800-1918,1800,1918,367,national,cshapes-2.0,65978,no_reference,0,,0,,,,,,
LVA-1918-1940,1918,1940,367,national,cshapes-2.0,65978,stable_confirmed,1,1918-1939,0,65966,65966,,,0.996,0.02
LVA-1940-1991,1940,1991,367,national,cshapes-2.0,65978,no_reference,0,,0,,,,,,
LVA-1991-2025,1991,2025,367,national,cshapes-2.0,64615,stable_where_covered,1,1991-2019,0,64643,64643,,,0.996,-0.04
LZI-1800-1890,1800,1890,,national,paine-2024,61160,no_reference,0,,0,,,,,,
MAC-1800-2025,1800,2025,,national,gadm-4.1-adm1,34,no_reference,0,,0,,,,,,
MAF-2007-2025,2007,2025,,territory,gadm-4.1-adm0,56,no_reference,0,,0,,,,,,
MAN-1921-1932,1921,1932,,subnational,constructed,791706,no_reference,0,,0,,,,,,
MAN-1932-1945,1932,1945,,national,constructed,791706,no_reference,0,,0,,,,,,
MAN-1945-1950,1945,1950,,subnational,constructed,791706,no_reference,0,,0,,,,,,
MAN-1950-1955,1950,1955,,subnational,constructed,791706,no_reference,0,,0,,,,,,
MAR-1911-1958,1911,1958,600,national,cshapes-2.0,350268,changed,2,1911-1957,1,350331,374438,1.069,1956,0.998,-0.02
MAR-1958-1975,1958,1975,600,national,cshapes-2.0,403106,stable_confirmed,1,1958-1974,0,403235,403235,,,0.998,-0.03
MAR-1975-1979,1975,1979,600,national,cshapes-2.0,574398,stable_confirmed,1,1975-1978,0,574429,574429,,,0.998,-0.01
MAR-1979-2025,1979,2025,600,national,cshapes-2.0,672283,stable_where_covered,1,1979-2019,0,672203,672203,,,0.998,0.01
MASG-1946-1963,1946,1963,,aggregate,constructed,132001,no_reference,0,,0,,,,,,
MCO-1800-2025,1800,2025,,national,gadm-4.1-adm0,2,no_reference,0,,0,,,,,,
MDA-1991-2025,1991,2025,359,national,cshapes-2.0,33685,stable_where_covered,1,1991-2019,0,33682,33682,,,0.995,0.01
MDG-1882-2025,1882,2025,580,national,cshapes-2.0,592875,changed,3,1886-2019,2,592863,592863,1.003,1912;1946,0.998,0.0
MDV-1800-2025,1800,2025,781,national,gadm-4.1-adm0,300,reference_mismatch,1,1887-2019,1,34,34,,,0.008,781.43
MEX-1800-1848,1800,1848,,national,cliopatria,3187750,no_reference,0,,0,,,,,,
MEX-1848-2025,1848,2025,,national,cshapes-2.0,1956564,no_reference,0,,0,,,,,,
MEX-AGS-1857-2025,1857,2025,,subnational,gadm-4.1-adm1,5597,no_reference,0,,0,,,,,,
MEX-BCN-1952-2025,1952,2025,,subnational,gadm-4.1-adm1,72921,no_reference,0,,0,,,,,,
MEX-BCS-1931-2025,1931,2025,,subnational,gadm-4.1-adm1,72088,no_reference,0,,0,,,,,,
MEX-CAM-1863-2025,1863,2025,,subnational,gadm-4.1-adm1,55503,no_reference,0,,0,,,,,,
MEX-CHIAPAS-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,73075,no_reference,0,,0,,,,,,
MEX-CHIHUAHUA-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,247405,no_reference,0,,0,,,,,,
MEX-CMX-1824-2025,1824,2025,,subnational,gadm-4.1-adm1,1505,no_reference,0,,0,,,,,,
