ratio,item,unit,whep_code,polity_name,source,median_value,area,n,item_median_intensity,assertion_keys,known_flow,flow_origin_iso3
191.5981127837569,"rubber, natural",tonnes,BNB-1881-1963,British North Borneo,iia,72460.0,72556.85503353662,1,0.005212290981469361,malaysia|iia|1909-1944,,
188.15135706574623,"tobacco, unmanufactured",tonnes,LBN-1944-2025,Lebanon,iia,98150.0,10199.46189186542,2,0.051145295153688305,lebanon|iia|1944-1945,,
186.57233410227624,"groundnuts, with shell",ha,SEN-1886-1960,Senegal (1886-1960),iia,573475.0,196149.59959691632,22,0.01567039051079133,senegal|iia|1922-1945,,
184.85228700944973,sugar raw centrifugal,tonnes,BRB-1800-2025,Barbados,iia,24700.0,434.58445270912586,5,0.3074665960637625,barbados|iia|1909-1943,,
184.84268168437237,grapefruit (inc. pomelos),ha,DMA-1800-2025,Dominica,iia,1000.0,746.7822563482973,1,0.007244422135381938,dominica|iia|1909-1944,,
183.6943203540706,lemons and limes,tonnes,MSR-1800-2025,Montserrat,iia,550.0,101.08444734488369,18,0.02961983397613065,montserrat|iia|1909-1945,,
183.37413192107522,centrifugal sugar noncentrifugal cane sugar,1000 tonnes,HAWI-1898-1959,Territory of Hawaii,fao1952,896.5,16631.877439866264,4,0.0002939482959867938,hawaii|fao1952|1937-1951,,
182.6677241349617,"rubber, natural",tonnes,GBM-1895-1946,British Malaya (1895-1946),mitchell,125700.0,132021.5438709664,48,0.005212290981469361,malaysia|mitchell|1898-1945,,
182.17429024987314,"coffee, green",tonnes,SLV-1821-2025,El Salvador,juan,54000.0,20558.112635569574,56,0.014418611242477926,el salvador|juan|1900-1960,,
181.90104258941315,cotton seed,ha,MSR-1800-2025,Montserrat,iia,1401.0,101.08444734488369,24,0.07619361970864685,montserrat|iia|1909-1945,,
180.59791632157385,groundnuts,1000 hectares,GMB-1800-2025,Gambia,fao1952,85.0,10627.738270113981,2,4.4285886226149405e-05,gambia|fao1952|1937-1951,,
180.35535246950306,raisins,tonnes,GRC-1881-1913,Greece (1881–1913),iia,145632.8,63611.58790153088,1,0.012693866518375212,greece|iia|1911-1911,,
179.13860910521262,poultry,1000 heads,BMU-1684-1968,British Crown Colony of Bermuda,fao1952,59.5,67.8255295223494,2,0.004897050411867877,bermuda|fao1952|1937-1951,,
