verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
500,netherlands new guinea|fao1952|1949-1951,Netherlands New Guinea,fao1952,NNG-1949-1963,pending,applied_alias,3,1949-1951,3,1949-1963,colonial,draft,assigned,False,False,False,False,high,False,precedent
501,romania|mitchell|1913-1916,romania,mitchell,ROU-1913-1918,pending,applied_alias,3,1913-1916,3,1913-1918,national,draft,assigned,False,False,False,False,high,False,precedent
502,british west indies cayman islands|fao1952|1947-1947,British West Indies Cayman Islands,fao1952,CYM-1800-2025,pending,applied_alias,2,1947-1947,1,1800-2025,territory,draft,estimate,False,False,False,False,high,False,precedent
503,british west indies turks and caicos|fao1952|1948-1948,British West Indies Turks and Caicos,fao1952,TCA-1800-2025,pending,applied_alias,2,1948-1948,1,1800-2025,territory,draft,estimate,False,False,False,False,high,False,precedent
504,czech republic|mitchell|1945-1946,czech republic,mitchell,F51-1945-1947,pending,applied_alias,2,1945-1946,2,1945-1947,national,draft,assigned,False,False,False,False,high,False,precedent
505,malaya federation of|fao1952|1939-1939,Malaya Federation of,fao1952,GBM-1895-1946,pending,applied_alias,2,1939-1939,1,1895-1946,colonial,draft,assigned,False,False,False,False,high,False,precedent
506,malaya federation of and singapore|fao1952|1937-1937,Malaya Federation of and Singapore,fao1952,GBM-1895-1946,pending,applied_alias,2,1937-1937,1,1895-1946,colonial,draft,assigned,False,False,False,False,high,False,precedent
507,romania|iia|1918-1918,romania,iia,ROU-1918-1919,pending,applied_alias,2,1918-1918,1,1918-1919,national,draft,assigned,False,False,False,False,high,False,precedent
508,romania|iia|1919-1919,romania,iia,ROU-1919-1920,pending,applied_alias,2,1919-1919,1,1919-1920,national,draft,assigned,False,False,False,False,high,False,precedent
509,bulgaria|mitchell|1918-1918,bulgaria,mitchell,BGR-1918-1919,pending,applied_alias,1,1918-1918,1,1918-1919,national,draft,assigned,False,False,False,False,high,False,precedent
510,ethiopia|fao1952|1937-1937,Ethiopia,fao1952,ETH-1936-1941,pending,applied_alias,1,1937-1937,1,1936-1941,national,draft,assigned,False,False,False,False,high,False,precedent
511,ethiopia|iia|1938-1938,ethiopia,iia,ETH-1936-1941,pending,applied_alias,1,1938-1938,1,1936-1941,national,draft,assigned,False,False,False,False,high,False,precedent
512,israel palestine|mitchell|1949-1949,israel/palestine,mitchell,ISR-1948-1967,pending,applied_alias,1,1949-1949,1,1948-1967,national,draft,assigned,False,False,False,False,medium,False,precedent
513,romania|mitchell|1919-1919,romania,mitchell,ROU-1919-1920,pending,applied_alias,1,1919-1919,1,1919-1920,national,draft,assigned,False,False,False,False,high,False,precedent
514,russian federation|mitchell|1914-1914,russian federation,mitchell,F228-1914-1917,pending,applied_alias,1,1914-1914,1,1914-1917,national,draft,assigned,False,False,False,False,high,False,precedent
