"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1902,"Uruguay","URY","Uruguay","Uruguay","Wine",564,6930,"tonnes",234,"South America","Americas","URY","URY","mitchell","page451-500.xlsx","page_46_table_1"
1902,"Uruguay","URY","Uruguay","Uruguay","Wine",564,4000,"ha",234,"South America","Americas","URY","URY","mitchell","page451-500.xlsx","page_46_table_1 (2)"
1902,"Venezuela","VEN","Venezuela","Venezuela (Bolivarian Republic of)","Cacao, beans",661,8000,"tonnes",236,"South America","Americas","VEN","VEN","mitchell","page451-500.xlsx","page_33_table_1"
1902,"Venezuela","VEN","Venezuela","Venezuela (Bolivarian Republic of)","Sugar Raw Centrifugal",162,3000,"tonnes",236,"South America","Americas","VEN","VEN","mitchell","page401-450.xlsx","page_49_table_2"
1902,"DR Congo","COD","DR Congo","Democratic Republic of the Congo","Rubber, natural",836,5400,"tonnes",250,"Western Africa","Africa","COD","COD","mitchell","page201-250.xlsx","page_22_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Asses",1107,275000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Barley",44,1427000,"ha",4,"Northern Africa","Africa","DZA","DZA","mitchell","2.xlsx","page_2_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Barley",44,838000,"tonnes",4,"Northern Africa","Africa","DZA","DZA","mitchell","page51-100.xlsx","page_7_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Cattle",866,1082000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Goats",1016,5030000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Horses",1096,232000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Mules and hinnies",1110,175000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Oats",75,131000,"ha",4,"Northern Africa","Africa","DZA","DZA","mitchell","2.xlsx","page_2_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Oats",75,116000,"tonnes",4,"Northern Africa","Africa","DZA","DZA","mitchell","page51-100.xlsx","page_7_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Oil, olive, virgin",261,22000,"tonnes",4,"Northern Africa","Africa","DZA","DZA","mitchell","page101-150.xlsx","page_45_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Swine / pigs",1034,87000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Potatoes",116,13000,"ha",4,"Northern Africa","Africa","DZA","DZA","mitchell","2.xlsx","page_2_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Sheep",976,8939000,"heads",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_30_table_1"
1903,"Algeria","DZA","Algeria","Algeria","Tobacco, unmanufactured",826,5900,"tonnes",4,"Northern Africa","Africa","DZA","DZA","mitchell","page201-250.xlsx","page_5_table_1"
